Fecha,Liquidez de las sociedades creadoras de depósito (fin de periodo) - Liquidez en Soles (millones S/)
Ene92,1791
Feb92,1917
Mar92,2017
Abr92,2118
May92,2162
Jun92,2200
Jul92,2411
Ago92,2391
Sep92,2455
Oct92,2508
Nov92,2502
Dic92,2798
Ene93,2754
Feb93,2919
Mar93,2971
Abr93,2975
May93,2899
Jun93,2959
Jul93,3282
Ago93,3255
Sep93,3229
Oct93,3371
Nov93,3390
Dic93,3732
Ene94,3661
Feb94,4015
Mar94,4248
Abr94,4286
May94,4550
Jun94,5024
Jul94,5666
Ago94,5364
Sep94,5541
Oct94,5622
Nov94,5684
Dic94,6134
Ene95,5974
Feb95,6187
Mar95,6491
Abr95,6495
May95,6502
Jun95,6931
Jul95,7556
Ago95,7366
Sep95,7249
Oct95,7428
Nov95,7462
Dic95,7882
Ene96,7706
Feb96,7926
Mar96,8166
Abr96,8282
May96,8310
Jun96,8500
Jul96,8841
Ago96,8647
Sep96,8826
Oct96,8733
Nov96,8934
Dic96,9593
Ene97,9109
Feb97,9124
Mar97,9763
Abr97,9609
May97,9562
Jun97,9815
Jul97,10547
Ago97,10287
Sep97,10682
Oct97,10828
Nov97,11086
Dic97,11920
Ene98,11646
Feb98,11435
Mar98,11867
Abr98,11782
May98,11685
Jun98,11623
Jul98,11709
Ago98,11311
Sep98,10765
Oct98,10797
Nov98,10983
Dic98,11566
Ene99,11036
Feb99,11145
Mar99,11034
Abr99,10811
May99,11032
Jun99,10972
Jul99,11750
Ago99,11469
Sep99,11632
Oct99,11529
Nov99,11703
Dic99,12564
Ene00,11887
Feb00,11432
Mar00,11895
Abr00,11616
May00,11538
Jun00,11766
Jul00,12139
Ago00,11734
Sep00,11799
Oct00,11758
Nov00,11767
Dic00,12720
Ene01,11572
Feb01,11530
Mar01,11744
Abr01,12114
May01,11667
Jun01,11535
Jul01,12197
Ago01,11842
Sep01,11861
Oct01,11962
Nov01,12402
Dic01,13462
Ene02,12791
Feb02,12915
Mar02,13471
Abr02,13129
May02,13193
Jun02,13587
Jul02,14794
Ago02,14265
Sep02,14015
Oct02,13899
Nov02,13907
Dic02,14742
Ene03,13928
Feb03,14085
Mar03,14292
Abr03,14346
May03,14179
Jun03,14356
Jul03,15350
Ago03,15031
Sep03,14882
Oct03,15121
Nov03,15180
Dic03,16174
Ene04,16055
Feb04,16101
Mar04,16676
Abr04,16761
May04,17007
Jun04,17112
Jul04,17776
Ago04,17665
Sep04,18104
Oct04,19513
Nov04,20060
Dic04,21446
Ene05,21085
Feb05,21955
Mar05,22880
Abr05,22687
May05,22702
Jun05,23096
Jul05,24867
Ago05,24779
Sep05,24894
Oct05,25238
Nov05,26067
Dic05,28264
Ene06,26726
Feb06,27070
Mar06,27708
Abr06,26495
May06,26318
Jun06,26887
Jul06,27810
Ago06,27887
Sep06,28175
Oct06,28491
Nov06,30072
Dic06,33340
Ene07,33455
Feb07,33672
Mar07,34819
Abr07,34211
May07,34769
Jun07,35992
Jul07,37664
Ago07,38072
Sep07,37962
Oct07,40173
Nov07,42375
Dic07,44866
Ene08,45876
Feb08,49119
Mar08,51593
Abr08,53598
May08,54253
Jun08,55071
Jul08,55839
Ago08,56323
Sep08,55951
Oct08,55910
Nov08,55994
Dic08,57083
Ene09,55300
Feb09,56253
Mar09,56064
Abr09,54924
May09,55785
Jun09,56855
Jul09,59090
Ago09,58986
Sep09,58933
Oct09,60268
Nov09,62019
Dic09,65324
Ene10,65535
Feb10,66737
Mar10,69022
Abr10,68937
May10,70403
Jun10,71687
Jul10,73478
Ago10,75848
Sep10,76121
Oct10,77874
Nov10,80605
Dic10,85366
Ene11,84151
Feb11,84896
Mar11,87177
Abr11,85435
May11,85752
Jun11,86010
Jul11,89699
Ago11,90560
Sep11,91501
Oct11,92065
Nov11,93373
Dic11,99520
Ene12,99766
Feb12,101709
Mar12,104331
Abr12,105881
May12,107648
Jun12,107368
Jul12,108805
Ago12,110171
Sep12,111921
Oct12,114888
Nov12,117338
Dic12,122734
Ene13,123742
Feb13,127088
Mar13,127825
Abr13,128025
May13,129040
Jun13,129318
Jul13,132213
Ago13,130663
Sep13,128271
Oct13,129052
Nov13,130928
Dic13,136976
Ene14,135333
Feb14,135807
Mar14,136019
Abr14,135336
May14,136146
